Barcode,Name,Price
088004045357,Paul Masson 50 ml ,$1.29 
721059707510,Espolon Repo 750ml,$33.99 
619947000068,Titos Vodka 50ml ,$2.29 
088110955342,Buchanans Special Reserve 18yr 750ml,$87.99 
811538010139,1800 Blanco  750 ML,$30.99 
721733000234,Patron Silver 50ml,$6.99 
674545000599,✨Don Julio Blanco Tequila - 375ml,$25.99 
664804000385,✨Espolon Reposado Tequila - 375ml    ,$18.99 
080686835035,Hornitos Repo 375ml,$15.99 
811538018241,1800 Blanco  100 ML,$4.99 
400,E Beer Single,$1.99 
850015640018,Teremana Reposado 375ml ,$18.99 
085000004135,E&J 750ml,$11.99 
072890000118,Heineken 6pk Btls,$11.99 
087236002831,Remy Martin 1738 375ml,$33.99 
856724006114,Casamigos Silver 750ml,$50.99 
674545000070,✨Don Julio Añejo Tequila - 50ml   ,$8.99 
080660957654,Modelo Especial 6pk BT,$11.99 
611269991000,Red Bull 8oz,$2.99 
085676564018,Calypso Coconut 1.75L,$13.99 
721733000029,Patron Silver 750ml,$52.99 
088004045494,✨Paul Masson VSOP Brandy - 375ml ,$6.99 
811538010221,1800 Repo 375ml,$17.99 
699013000727,✨Venado Light Tequila - 750ml       ,$14.99 
088110021306,Johnnie Walker Red Label 750ml,$27.99 
087236001162,Remy Martin VSOP 750ml,$49.99 
811538010931,Jose Cuervo Silver 200ml,$7.99 
085000024867,New Amsterdam Apple 375 ml,$6.99 
619947000037,Titos 1.75L,$36.99 
080480170028,Cazadores Repo 750ml,$24.99 
811538010955,Jose Cuervo Silver 50ml,$2.29 
085000029626,✨New Amsterdam Pink Vodka - 750ml,$14.99 
802284004589,Edgefield 100s Long,$5.99 
721733001101,Patron Silver 200ml,$15.99 
080480015404,Bacardi Superior Glass 750ml,$16.99 
088110955311,Buchanans 1.75L,$70.99 
080480015206,✨Bacardi Superior Rum - 1.15L     ,$26.99 
096749908035,Lunazul Blanco 750ml,$21.99 
080480280031,Grey Goose 375ml,$13.99 
085000020333,New Amsterdam Peach 750ml,$14.99 
085000019498,Amsterdam 750ml,$14.99 
085000022306,New Amsterdam Pineapple 375ml,$6.99 
088004045814,✨Paul Masson Brandy - 100ml     ,$2.29 
674545000063,Don Julio Anejo 750 ML,$64.99 
08719902,Crown Royal 50ml,$2.99 
088076188365,✨Buchanan's Pineapple Flavored Scotch Whisky - 750ml     ,$44.99 
085000032534,New Amsterdam Pink Whitney 200ml,$4.59 
082000776574,Crown Royal Vanilla 200ml,$9.99 
082000776581,Crown Royal Vanilla 375ml,$15.99 
858765004142,Show Cigar Regular ,$1.39 
080686835066,Hornitos Repo 200ml,$9.99 
856724006138,✨Casamigos Tequila Blanco - 50ml         ,$5.99 
080660246338,✨Kentucky Gentleman Bourbon Whiskey - 1L,$7.99 
085000024034,E&J Apple 375ml,$5.99 
811538010115,1800 Blanco  50 ML,$3.99 
085592104510,Mccormick Vodka 1.75L,$13.99 
080480016210,Bacardi Superior 50 m,$1.49 
736040012870,Hpnotiq 50ml,$3.99 
02835727,Marlboro Red,$9.99 
700118827321,✨Barin Vodka - 200ml        ,$2.19 
080660957579,Modelo Especial 12oz 12pk BT,$21.99 
051497164041,✨Oil Boom Vodka - 1.75L      ,$9.99 
087236001216,✨Remy Martin VSOP Cognac - 375ml,$26.99 
080660246376,Kentucky Gentleman 375ml,$4.49 
085000032541,New Amsterdam Pink Whitney 375ml ,$6.99 
085000034187,New Amsterdam Passion Fruit 375 ml ,$6.99 
087236992002,St Remy VSOP 750ml,$15.99 
617768113752,Svedka Vodka 375 ml ,$7.39 
856724006121,✨Casamigos Blanco Tequila - 375ml       ,$21.99 
811538010238,1800 Repo 750ml,$33.99 
086767210067,Baileys 750ml,$32.99 
700118827253, ✨Barin Vodka Traveler - 1.0L         ,$6.99 
033544950906,Modelo Especial 32oz,$4.39 
674545000001,Don Julio Blanco 750 ML,$55.99 
674545000612,Don Julio Anejo 375 ML,$30.99 
721059707503,Espolon Silver 750ml,$31.99 
082184000052,Jack Daniels 50ml,$2.79 
085000025772,New Amsterdam Apple 100 ml,$2.29 
02872825,Benson Menthol Lux L,$11.99 
811538010122,1800 Blanco  375 ML,$17.99 
080686835325,Hornitos Silver 750ml,$25.99 
088004015138,Tortilla Silver 1L,$10.99 
085000020364,✨New Amsterdam Red Berry Vodka - 375ml,$6.99 
080660956831,Corona Familiar 32oz,$4.39 
08245805,Crown Royal Apple 50ml,$2.99 
088110021191,✨Johnnie Walker Red Label Scotch Whisky - 375ml,$17.99 
080686961109,Courvoisier VS 200ml,$12.99 
096749021642,Evan Williams 375ml,$8.99 
086785110738,Roscato Sweet Red 750ml,$14.99 
099988071096,Menage A Trois Red 750ml,$13.99 
721059000659,Wray&Nephew White 1.75L,$55.99 
096749021246,Evan Williams 1L,$18.99 
08911108,Johnnie Walker Blackn Label 50ml  ,$3.99 
02836328,Marlboro Red 100,$9.99 
088004045517,✨Paul Masson Grande Amber VSOP Brandy - 750ml     ,$4.99 
088004015077,Tortilla Repo 1L,$10.99 
082184000335,Jack Daniels Honey 750ml,$26.99 
085000019917,Gallo Family Pink Moscato 1.5L,$10.99 
088110150563,Hennessy 1L,$59.99 
083820123937,Guiness Extra Stout 6pk BT,$11.99 
674545000827,✨70 Don Julio Añejo Tequila - 750ml,$89.99 
085000021330,New Amsterdam Coconut 100 ml,$2.29 
746925001349,Robertson Winery Sweet Red 750ml,$7.99 
744607068208,El Jimador Silver 750ml,$22.99 
080432110843,✨Martell Cognac Blue Swift - 375ml,$26.99 
085592104336,Mccormick Whiskey 1L,$10.99 
617768111758,Svedka 750ml,$12.99 
088004045753,✨Paul Masson Grande Amber Brandy - 1.75L      ,$21.99 
721059891004,Wild Turkey 101 1L,$35.99 
085000019900,Gallo Pink Moscato 750ml,$5.99 
078250003348,Steel Reserve 42oz,$3.29 
087872633369,Stella Rosa Black 750 ml,$14.99 
082184090442,Jack Daniels 1L,$34.99 
08227207,✨Crown Royal Black Whisky - 50ml,$3.39 
085592104572,Mccormick Vodka 200ml,$2.79 
089000990627,99 Peaches  200 ml ,$3.39 
096749025336,Evan Williams Egg Nog 750ml,$10.99 
088004015121,Tortilla Silver 1.75L,$17.99 
088004027506,Miles Gin 375 ml,$3.79 
088004027490,Miles Gin 750ml,$6.99 
080432113233,Seagrams Lime Twisted Gin 100 ml ,$2.29 
080660246352,Kentucky Gentelman 750ml,$6.99 
080432500170,Jameson 750ml,$33.99 
080432400814,Martell Cognac Vssd 750ml,$41.99 
085676563868,Calypso Spiced Rum 1.75L,$13.99 
021296021012,Paul Masson Vsop 200 ml,$4.99 
08506825,Sutter Home Pinot Grigio 1.5L,$10.99 
087236002923,✨1738 Remy Martin Cognac - 1L,$79.99 
7503014168184,✨Lamision Reposado Tequila - 750ml      ,$16.99 
080432000014,✨Seagram Extra Dry Gin - 750ml,$4.99 
087148311540,Coronado Rompope Vanilla 1L,$12.99 
080686961048,✨Courvoisier VS Cognac - 750ml,$39.99 
088004030469,Taaka Gin 750ml,$6.99 
7503014168177,✨Lamision Blanco Tequila - 750ml  ,$15.99 
684746400210,✨Clubtails Margarita RTD - 12oz ,$2.39 
086036815702,Christian Brothers VS 200ml,$3.99 
088110151058,Hennessy VSOP 750ml,$63.99 
088004144739,Fireball 200ml,$5.49 
080432400777,Martell VS 200ml,$12.99 
080480280048,Grey Goose 200ml,$11.99 
08911302,Johnny Walker Red Label 50 ml ,$2.99 
088110955335,Buchanans 375ml,$22.99 
088004045784,✨Paul Masson Brandy - 750ml         ,$10.99 
088110011192,Johnnie Walker Black Label 375ml,$22.99 
085000019504,New Amsterdam 1L,$17.99 
088076162655,Ciroc 375ml,$19.99 
085000003817,E&J VSOP 750ml,$13.99 
088004008581,✨R&R Reserve Canadian Whisky - 750ml,$13.99 
088110011130,Johnnie Walker Black Label 200 ml,$14.99 
